key	cs
natjob.accepted.3	PRIJAL MISTO TRENERA NARODNIHO TYMU
natjob.ended.1	CLENOVE FOTBALOVEHO VYBORU
natjob.ended.2	%a SE ROZHODLI NEOBNOVIT VASI
natjob.ended.3	KAZDOROCNE OBNOVOVANOU SMLOUVU
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	PROSIM CEKEJTE
busy.new_career	VYTVARIM SVET
busy.next_season	PROBIHA LETO
dash.scorers	NEJLEPSI STRELCI
scorer.title	NEJLEPSI STRELCI
scorer.view	SEZNAM
scorer.page	STRANA
scorer.view_comp	SOUTEZ
scorer.view_club	MUJ KLUB
scorer.view_history	SEZONA PO SEZONE
scorer.leading	NEJLEPSI STRELCI SOUTEZE
scorer.goals	GOLY
scorer.own_goals	VLASTNI GOLY
scorer.ex_player	GOLY BYVALYCH HRACU
scorer.career_total	CELKEM V KARIERE
scorer.season	SEZONA
scorer.season_top	NEJLEPSI STRELEC SEZONY
scorer.season_top_plural	NEJLEPSI STRELCI SEZONY
scorer.no_goals	ZATIM ZADNE GOLY V TETO SEZONE
scorer.no_seasons	ZADNA SEZONA DOSUD NEDOKONCENA
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	ZAPAS
dash.sec_team	TYM
dash.sec_club	KLUB
dash.sec_game	HRA
nav.hint_cols	NAHORU/DOLU VYBER   VLEVO/VPRAVO SLOUPEC   PALBA OK   ESC ZPET
