key	pt
natjob.col_club	CLUBE
natjob.letter_header	PROPOSTA DE TRABALHO INTERNACIONAL DE %a
natjob.offer.1	OS MEMBROS DO COMITE DE FUTEBOL
natjob.offer.2	DE %a GOSTARIAM DE LHE OFERECER
natjob.offer.3	O CARGO DE SELECIONADOR NACIONAL
natjob.offer.4	PROMETEMOS UM SALARIO EXCELENTE E
natjob.offer.5	UM CONTRATO REVISTO TODOS OS ANOS
natjob.offer.6	AGUARDAMOS A SUA RESPOSTA
natjob.accepted.1	OS MEMBROS DO COMITE DE FUTEBOL
natjob.accepted.2	DE %a ESTAO FELIZES POR TER
natjob.accepted.3	ACEITE O CARGO DE SELECIONADOR NACIONAL
natjob.ended.1	OS MEMBROS DO COMITE DE FUTEBOL
natjob.ended.2	DE %a DECIDIRAM NAO RENOVAR O SEU
natjob.ended.3	CONTRATO ANUAL
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	AGUARDE POR FAVOR
busy.new_career	A CRIAR O MUNDO
busy.next_season	DECORRE O VERAO
dash.scorers	MELHORES MARCADORES
scorer.title	MELHORES MARCADORES
scorer.view	LISTA
scorer.page	PAGINA
scorer.view_comp	COMPETICAO
scorer.view_club	O MEU CLUBE
scorer.view_history	EPOCA A EPOCA
scorer.leading	MELHORES MARCADORES DA COMPETICAO
scorer.goals	GOLOS
scorer.own_goals	AUTOGOLOS
scorer.ex_player	GOLOS DE EX JOGADORES
scorer.career_total	TOTAL DA CARREIRA
scorer.season	EPOCA
scorer.season_top	MELHOR MARCADOR DA EPOCA
scorer.season_top_plural	MELHORES MARCADORES DA EPOCA
scorer.no_goals	AINDA SEM GOLOS ESTA EPOCA
scorer.no_seasons	NENHUMA EPOCA CONCLUIDA
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	JOGO
dash.sec_team	EQUIPA
dash.sec_club	CLUBE
dash.sec_game	JOGO
nav.hint_cols	CIMA/BAIXO ESCOLHER   ESQ/DIR COLUNA   FOGO OK   ESC VOLTAR
