key	id
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	MOHON TUNGGU
busy.new_career	MEMBANGUN DUNIA
busy.next_season	MUSIM PANAS BERJALAN
dash.scorers	TOP SKOR
scorer.title	DAFTAR TOP SKOR
scorer.view	DAFTAR
scorer.page	HALAMAN
scorer.view_comp	KOMPETISI
scorer.view_club	KLUB SAYA
scorer.view_history	MUSIM DEMI MUSIM
scorer.leading	PENCETAK GOL TERBANYAK KOMPETISI
scorer.goals	GOL
scorer.own_goals	GOL BUNUH DIRI
scorer.ex_player	GOL MANTAN PEMAIN
scorer.career_total	TOTAL KARIER
scorer.season	MUSIM
scorer.season_top	TOP SKOR MUSIM INI
scorer.season_top_plural	TOP SKOR MUSIM INI
scorer.no_goals	BELUM ADA GOL MUSIM INI
scorer.no_seasons	BELUM ADA MUSIM YANG SELESAI
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	PERTANDINGAN
dash.sec_team	TIM
dash.sec_club	KLUB
dash.sec_game	PERMAINAN
nav.hint_cols	ATAS/BAWAH PILIH   KIRI/KANAN KOLOM   TEMBAK OK   ESC KEMBALI
