key	es
natjob.letter_header	OFERTA DE TRABAJO INTERNACIONAL DE %a
natjob.offer.1	LOS MIEMBROS DEL COMITE DE FUTBOL
natjob.offer.2	DE %a LE OFRECEN EL PUESTO
natjob.offer.3	DE SELECCIONADOR NACIONAL
natjob.offer.4	LE PROMETEMOS UN SALARIO EXCELENTE Y
natjob.offer.5	UN CONTRATO REVISABLE CADA ANO
natjob.offer.6	ESPERAMOS SU RESPUESTA
natjob.accepted.1	LOS MIEMBROS DEL COMITE DE FUTBOL
natjob.accepted.2	DE %a ESTAN ENCANTADOS DE QUE HAYA
natjob.accepted.3	ACEPTADO EL PUESTO DE SELECCIONADOR
natjob.ended.1	LOS MIEMBROS DEL COMITE DE FUTBOL
natjob.ended.2	DE %a HAN DECIDIDO NO RENOVAR SU
natjob.ended.3	CONTRATO REVISABLE CADA ANO
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	POR FAVOR ESPERE
busy.new_career	CREANDO EL MUNDO
busy.next_season	TRANSCURRE EL VERANO
dash.scorers	MAXIMOS GOLEADORES
scorer.title	MAXIMOS GOLEADORES
scorer.view	LISTA
scorer.page	PAGINA
scorer.view_comp	COMPETICION
scorer.view_club	MI CLUB
scorer.view_history	TEMPORADA A TEMPORADA
scorer.leading	MAXIMOS GOLEADORES DE LA COMPETICION
scorer.goals	GOLES
scorer.own_goals	GOLES EN PROPIA
scorer.ex_player	GOLES DE EX JUGADORES
scorer.career_total	TOTAL CARRERA
scorer.season	TEMPORADA
scorer.season_top	MAXIMO GOLEADOR DE LA TEMPORADA
scorer.season_top_plural	MAXIMOS GOLEADORES DE LA TEMPORADA
scorer.no_goals	AUN NO HAY GOLES ESTA TEMPORADA
scorer.no_seasons	NINGUNA TEMPORADA COMPLETADA
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	PARTIDO
dash.sec_team	EQUIPO
dash.sec_club	CLUB
dash.sec_game	PARTIDA
nav.hint_cols	ARRIBA/ABAJO ELEGIR   IZQ/DER COLUMNA   FUEGO OK   ESC ATRAS
# TRAINING / CLUB DIARY / YOUTH INTAKE / CLUB RECORDS (2026-08-26)
dash.training	ENTRENAMIENTO
dash.chronicle	DIARIO DEL CLUB
dash.legends	RECORDS DEL CLUB
busy.training	ENTRENAMIENTO
train.title	ENTRENAMIENTO
train.drill	EJERCICIO
train.intensity	INTENSIDAD
train.toggle	ANADIR / QUITAR
train.auto	ELEGIR AUTO
train.auto_done	GRUPO ELEGIDO POR POTENCIAL
train.run	INICIAR SESION
train.report	ULTIMO INFORME
train.report_title	INFORME DE ENTRENAMIENTO
train.ready	SESION LISTA
train.closed	SIN ENTRENAMIENTO ENTRE TEMPORADAS
train.done_week	YA ENTRENADO ESTA SEMANA - PROXIMA SESION TRAS EL PARTIDO
train.coach	ENTRENADOR
train.trains	ENTRENA
train.trains_fitness	CONDICION
train.trains_keeper	JUEGO DE PORTERO
train.col_in	EN
train.col_con	CON
train.col_shp	FRM
train.col_room	MARG
train.col_grade	SESION
train.col_gain	PROGRESO
train.group_full	GRUPO LLENO - MAX
train.no_report	AUN NO SE HA HECHO NINGUNA SESION
train.injured	LESIONADO EN ENTRENAMIENTO
train.potential_up	TECHO ELEVADO
train.int_0	SUAVE
train.int_1	NORMAL
train.int_2	INTENSA
train.grade_0	POBRE
train.grade_1	OK
train.grade_2	BUENA
train.grade_3	EXCELENTE
train.drill_shooting	TIRO A PUERTA
train.drill_finishing	DEFINICION
train.drill_passing	PASES Y CENTROS
train.drill_control	CIRCUITO DE REGATE
train.drill_pace	SPRINTS Y SERIES
train.drill_heading	JUEGO AEREO
train.drill_defending	DEFENSA Y ENTRADA
train.drill_keeper	PORTEROS
train.drill_recovery	RECUPERACION Y FISICO
skill.passing	PASE
skill.shooting	TIRO
skill.heading	CABEZA
skill.tackling	ENTRADA
skill.control	CONTROL
skill.speed	VELOCIDAD
skill.finishing	DEFINICION
chron.title	DIARIO DEL CLUB
chron.season	TEMPORADA
chron.all	TODO
chron.empty	AUN NO HA PASADO NADA
chron.apps	%a DISPUTA EL PARTIDO %0 CON EL CLUB
chron.goals	%a MARCA EL GOL %0 CON EL CLUB
chron.training	ENTRENAMIENTO: %a, INTENSIDAD %b
chron.training_break	%0 JUGADOR(ES) SUPERARON SU TECHO
chron.breakthrough	%a ENTRENA POR ENCIMA DE SU NIVEL
chron.train_injury	%a SE LESIONO EN EL ENTRENAMIENTO
chron.intake	LA CANTERA PRODUJO %0 JUGADOR(ES)
chron.league_won	%a ES CAMPEON
chron.league_pos	%a PUESTO EN LIGA
chron.cup_won	%a GANA LA COPA
chron.topscorer	MAXIMO GOLEADOR: %a CON %0
chron.signed	FICHADO %a POR %b
chron.sold	VENDIDO %a POR %b
chron.released	%a LIBERADO
chron.sacked	DESTITUIDO POR %a
chron.verdict	LA JUNTA VALORO LA TEMPORADA: %a
chron.big_win	VICTORIA ANTE %a %b
chron.big_loss	DERROTA %b ANTE %a
chron.win_run	%0 VICTORIAS SEGUIDAS
chron.unbeaten	%0 PARTIDOS SIN PERDER
chron.winless	%0 PARTIDOS SIN GANAR
youth.entry	CANTERA
youth.title	CANTERA
youth.none	LA CANTERA NO PRODUJO A NADIE ESTE VERANO
youth.header	INFORME DE LA CANTERA - LOS OJEADORES DAN UN RANGO
youth.col_est	VEREDICTO OJEADOR
youth.promote	ANADIR AL GRUPO
youth.release	LIBERAR
youth.released	LIBERADO
youth.added	ANADIDO AL ENTRENAMIENTO
youth.already	YA ESTA EN EL GRUPO
youth.cannot_release	PLANTILLA DEMASIADO CORTA
legend.title	RECORDS DEL CLUB
legend.header	PARTIDOS HISTORICOS
legend.empty	NINGUNA TEMPORADA COMPLETADA EN ESTE CLUB
legend.col_apps	PJ
legend.col_goals	GOL
legend.col_last	ULT
legend.still	AQUI
