key	fr
natjob.letter_header	OFFRE D EMPLOI INTERNATIONALE DE %a
natjob.offer.1	LES MEMBRES DU COMITE DE FOOTBALL
natjob.offer.2	DE %a AIMERAIENT VOUS OFFRIR LE POSTE
natjob.offer.3	DE SELECTIONNEUR NATIONAL
natjob.offer.4	NOUS PROMETTONS UN EXCELLENT SALAIRE ET
natjob.offer.5	UN CONTRAT REVISABLE CHAQUE ANNEE
natjob.offer.6	DANS L ATTENTE DE VOTRE REPONSE
natjob.accepted.1	LES MEMBRES DU COMITE DE FOOTBALL
natjob.accepted.2	DE %a SONT RAVIS QUE VOUS AYEZ
natjob.accepted.3	ACCEPTE LE POSTE DE SELECTIONNEUR
natjob.ended.1	LES MEMBRES DU COMITE DE FOOTBALL
natjob.ended.2	DE %a ONT DECIDE DE NE PAS RENOUVELER
natjob.ended.3	VOTRE CONTRAT REVISABLE CHAQUE ANNEE
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	VEUILLEZ PATIENTER
busy.new_career	CREATION DU MONDE
busy.next_season	L ETE SE DEROULE
dash.scorers	MEILLEURS BUTEURS
scorer.title	MEILLEURS BUTEURS
scorer.view	LISTE
scorer.page	PAGE
scorer.view_comp	COMPETITION
scorer.view_club	MON CLUB
scorer.view_history	SAISON PAR SAISON
scorer.leading	MEILLEURS BUTEURS DE LA COMPETITION
scorer.goals	BUTS
scorer.own_goals	BUTS CONTRE SON CAMP
scorer.ex_player	BUTS D ANCIENS JOUEURS
scorer.career_total	TOTAL CARRIERE
scorer.season	SAISON
scorer.season_top	MEILLEUR BUTEUR DE LA SAISON
scorer.season_top_plural	MEILLEURS BUTEURS DE LA SAISON
scorer.no_goals	AUCUN BUT CETTE SAISON
scorer.no_seasons	AUCUNE SAISON TERMINEE
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	MATCH
dash.sec_team	EQUIPE
dash.sec_club	CLUB
dash.sec_game	PARTIE
nav.hint_cols	HAUT/BAS CHOIX   GAUCHE/DROITE COLONNE   FEU OK   ESC RETOUR
# TRAINING / CLUB DIARY / YOUTH INTAKE / CLUB RECORDS (2026-08-26)
dash.training	ENTRAINEMENT
dash.chronicle	JOURNAL DU CLUB
dash.legends	RECORDS DU CLUB
busy.training	ENTRAINEMENT
train.title	ENTRAINEMENT
train.drill	EXERCICE
train.intensity	INTENSITE
train.toggle	AJOUTER / RETIRER
train.auto	CHOIX AUTO
train.auto_done	GROUPE CHOISI PAR POTENTIEL
train.run	LANCER LA SEANCE
train.report	DERNIER RAPPORT
train.report_title	RAPPORT D'ENTRAINEMENT
train.ready	SEANCE PRETE
train.closed	PAS D'ENTRAINEMENT ENTRE LES SAISONS
train.done_week	DEJA ENTRAINE CETTE SEMAINE - PROCHAINE SEANCE APRES LE MATCH
train.coach	ENTRAINEUR
train.trains	TRAVAILLE
train.trains_fitness	CONDITION
train.trains_keeper	JEU AU BUT
train.col_in	IN
train.col_con	CON
train.col_shp	FRM
train.col_room	MARGE
train.col_grade	SEANCE
train.col_gain	PROGRES
train.group_full	GROUPE COMPLET - MAX
train.no_report	AUCUNE SEANCE N'A ENCORE EU LIEU
train.injured	BLESSE A L'ENTRAINEMENT
train.potential_up	PLAFOND RELEVE
train.int_0	LEGERE
train.int_1	NORMALE
train.int_2	INTENSE
train.grade_0	FAIBLE
train.grade_1	OK
train.grade_2	BON
train.grade_3	EXCELLENT
train.drill_shooting	TRAVAIL DE FRAPPE
train.drill_finishing	FINITION
train.drill_passing	PASSES ET CENTRES
train.drill_control	PARCOURS DE DRIBBLE
train.drill_pace	SPRINTS ET NAVETTES
train.drill_heading	JEU DE TETE
train.drill_defending	DEFENSE ET TACLE
train.drill_keeper	GARDIENS
train.drill_recovery	RECUPERATION ET PHYSIQUE
skill.passing	PASSE
skill.shooting	TIR
skill.heading	TETE
skill.tackling	TACLE
skill.control	CONTROLE
skill.speed	VITESSE
skill.finishing	FINITION
chron.title	JOURNAL DU CLUB
chron.season	SAISON
chron.all	TOUT
chron.empty	RIEN NE S'EST ENCORE PASSE
chron.apps	%a DISPUTE SON MATCH %0 POUR LE CLUB
chron.goals	%a MARQUE SON BUT %0 POUR LE CLUB
chron.training	ENTRAINEMENT: %a, INTENSITE %b
chron.training_break	%0 JOUEUR(S) ONT DEPASSE LEUR PLAFOND
chron.breakthrough	%a S'ENTRAINE AU-DESSUS DE SON NIVEAU
chron.train_injury	%a S'EST BLESSE A L'ENTRAINEMENT
chron.intake	LE CENTRE A FORME %0 JOUEUR(S)
chron.league_won	%a EST CHAMPION
chron.league_pos	%a PLACE EN CHAMPIONNAT
chron.cup_won	%a REMPORTE LA COUPE
chron.topscorer	MEILLEUR BUTEUR: %a AVEC %0
chron.signed	%a RECRUTE POUR %b
chron.sold	%a VENDU POUR %b
chron.released	%a LIBERE
chron.sacked	LIMOGE PAR %a
chron.verdict	LE CONSEIL A JUGE LA SAISON: %a
chron.big_win	VICTOIRE CONTRE %a %b
chron.big_loss	DEFAITE %b CONTRE %a
chron.win_run	%0 VICTOIRES DE SUITE
chron.unbeaten	%0 MATCHS SANS DEFAITE
chron.winless	%0 MATCHS SANS VICTOIRE
youth.entry	JEUNES
youth.title	CENTRE DE FORMATION
youth.none	LE CENTRE N'A FORME PERSONNE CET ETE
youth.header	RAPPORT DU CENTRE - LES RECRUTEURS DONNENT UNE FOURCHETTE
youth.col_est	AVIS DU RECRUTEUR
youth.promote	AJOUTER AU GROUPE
youth.release	LIBERER
youth.released	LIBERE
youth.added	AJOUTE A L'ENTRAINEMENT
youth.already	DEJA DANS LE GROUPE
youth.cannot_release	EFFECTIF TROP COURT
legend.title	RECORDS DU CLUB
legend.header	MATCHS DE TOUS LES TEMPS
legend.empty	AUCUNE SAISON ACHEVEE DANS CE CLUB
legend.col_apps	MJ
legend.col_goals	BUT
legend.col_last	DER
legend.still	ICI
