key	nl
natjob.offer.1	DE LEDEN VAN DE VOETBALCOMMISSIE
natjob.offer.2	VAN %a WILLEN U DE FUNCTIE
natjob.offer.3	VAN BONDSCOACH AANBIEDEN
natjob.offer.4	WIJ BELOVEN U EEN UITSTEKEND SALARIS EN
natjob.offer.5	EEN JAARLIJKS HERZIENBAAR CONTRACT
natjob.offer.6	WIJ ZIEN UW ANTWOORD GRAAG TEGEMOET
natjob.accepted.1	DE LEDEN VAN DE VOETBALCOMMISSIE
natjob.accepted.2	VAN %a ZIJN VERHEUGD DAT U DE
natjob.accepted.3	FUNCTIE VAN BONDSCOACH HEEFT AANVAARD
natjob.ended.1	DE LEDEN VAN DE VOETBALCOMMISSIE
natjob.ended.2	VAN %a VERLENGEN UW JAARLIJKS
natjob.ended.3	HERZIENBARE CONTRACT NIET
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	EVEN GEDULD
busy.new_career	WERELD WORDT GEBOUWD
busy.next_season	DE ZOMER LOOPT
dash.scorers	TOPSCORERS
scorer.title	TOPSCORERS
scorer.view	LIJST
scorer.page	PAGINA
scorer.view_comp	COMPETITIE
scorer.view_club	MIJN CLUB
scorer.view_history	SEIZOEN PER SEIZOEN
scorer.leading	TOPSCORERS VAN DE COMPETITIE
scorer.goals	DOELPUNTEN
scorer.own_goals	EIGEN DOELPUNTEN
scorer.ex_player	DOELPUNTEN OUD SPELERS
scorer.career_total	TOTAAL CARRIERE
scorer.season	SEIZOEN
scorer.season_top	TOPSCORER VAN HET SEIZOEN
scorer.season_top_plural	TOPSCORERS VAN HET SEIZOEN
scorer.no_goals	NOG GEEN DOELPUNTEN DIT SEIZOEN
scorer.no_seasons	NOG GEEN SEIZOEN AFGEROND
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	WEDSTRIJD
dash.sec_team	TEAM
dash.sec_club	CLUB
dash.sec_game	SPEL
nav.hint_cols	OMHOOG/OMLAAG KIEZEN   LINKS/RECHTS KOLOM   VUUR OK   ESC TERUG
