key	ms
natjob.offer.4	KAMI JANJIKAN GAJI YANG SANGAT BAIK DAN
natjob.offer.5	KONTRAK YANG DISEMAK SETIAP TAHUN
natjob.offer.6	KAMI MENANTIKAN JAWAPAN ANDA
natjob.accepted.1	AHLI JAWATANKUASA BOLA SEPAK
natjob.accepted.2	%a GEMBIRA KERANA ANDA TELAH
natjob.accepted.3	MENERIMA JAWATAN JURULATIH KEBANGSAAN
natjob.ended.1	AHLI JAWATANKUASA BOLA SEPAK
natjob.ended.2	%a MEMUTUSKAN TIDAK MENYAMBUNG
natjob.ended.3	KONTRAK TAHUNAN ANDA
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	SILA TUNGGU
busy.new_career	MEMBINA DUNIA
busy.next_season	MUSIM PANAS BERJALAN
dash.scorers	PENJARING TERBANYAK
scorer.title	SENARAI PENJARING
scorer.view	SENARAI
scorer.page	HALAMAN
scorer.view_comp	PERTANDINGAN
scorer.view_club	KELAB SAYA
scorer.view_history	MUSIM DEMI MUSIM
scorer.leading	PENJARING TERBANYAK PERTANDINGAN
scorer.goals	GOL
scorer.own_goals	GOL SENDIRI
scorer.ex_player	GOL BEKAS PEMAIN
scorer.career_total	JUMLAH KERJAYA
scorer.season	MUSIM
scorer.season_top	PENJARING TERBAIK MUSIM
scorer.season_top_plural	PENJARING TERBAIK MUSIM
scorer.no_goals	BELUM ADA GOL MUSIM INI
scorer.no_seasons	BELUM ADA MUSIM SELESAI
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	PERLAWANAN
dash.sec_team	PASUKAN
dash.sec_club	KELAB
dash.sec_game	PERMAINAN
nav.hint_cols	ATAS/BAWAH PILIH   KIRI/KANAN LAJUR   TEMBAK OK   ESC KEMBALI
