key	sw
natjob.abroad	NJE
natjob.col_name	JINA
natjob.col_pos	NAF
natjob.col_ovr	JML
natjob.col_where	WAPI
natjob.col_club	KLABU
natjob.letter_header	OFA YA KAZI YA KIMATAIFA KUTOKA %a
natjob.offer.1	WAJUMBE WA KAMATI YA SOKA
natjob.offer.2	YA %a WANGEPENDA KUKUPA NAFASI
natjob.offer.3	YA KOCHA WA TIMU YA TAIFA
natjob.offer.4	TUNAAHIDI MSHAHARA BORA NA
natjob.offer.5	MKATABA UNAOPITIWA UPYA KILA MWAKA
natjob.offer.6	TUNASUBIRI JIBU LAKO
natjob.accepted.1	WAJUMBE WA KAMATI YA SOKA
natjob.accepted.2	YA %a WANAFURAHI KWAMBA UMEKUBALI
natjob.accepted.3	NAFASI YA KOCHA WA TIMU YA TAIFA
natjob.ended.1	WAJUMBE WA KAMATI YA SOKA
natjob.ended.2	YA %a WAMEAMUA KUTOENDELEZA
natjob.ended.3	MKATABA WAKO WA MWAKA
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	TAFADHALI SUBIRI
busy.new_career	KUJENGA ULIMWENGU
busy.next_season	MSIMU WA KIANGAZI
dash.scorers	WAFUNGAJI BORA
scorer.title	ORODHA YA WAFUNGAJI
scorer.view	ORODHA
scorer.page	UKURASA
scorer.view_comp	MASHINDANO
scorer.view_club	KLABU YANGU
scorer.view_history	MSIMU KWA MSIMU
scorer.leading	WAFUNGAJI BORA WA MASHINDANO
scorer.goals	MABAO
scorer.own_goals	MABAO YA KUJIFUNGA
scorer.ex_player	MABAO YA WACHEZAJI WA ZAMANI
scorer.career_total	JUMLA YA KAZI
scorer.season	MSIMU
scorer.season_top	MFUNGAJI BORA WA MSIMU
scorer.season_top_plural	WAFUNGAJI BORA WA MSIMU
scorer.no_goals	HAKUNA MABAO MSIMU HUU
scorer.no_seasons	HAKUNA MSIMU ULIOKAMILIKA
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	MECHI
dash.sec_team	TIMU
dash.sec_club	KLABU
dash.sec_game	MCHEZO
nav.hint_cols	JUU/CHINI CHAGUA   KUSHOTO/KULIA SAFU   PIGA SAWA   ESC RUDI
