key	pl
natjob.player	ZAWODNIK
natjob.add	DODAJ ZAWODNIKA
natjob.remove	USUN ZAWODNIKA
natjob.auto	WYBOR AUTOMATYCZNY
natjob.resign	ZREZYGNUJ
natjob.full	KADRA PELNA
natjob.appointed	SELEKCJONER
natjob.none	BRAK POSADY W REPREZENTACJI
natjob.no_players	BRAK ZAWODNIKOW
natjob.squad_word	KADRA
natjob.rating	OCENA
natjob.home	W KRAJU
natjob.abroad	ZA GRANICA
natjob.col_name	NAZWISKO
natjob.col_pos	POZ
natjob.col_ovr	OGL
natjob.col_where	GDZIE
natjob.col_club	KLUB
natjob.letter_header	MIEDZYNARODOWA OFERTA PRACY OD %a
natjob.offer.1	CZLONKOWIE KOMITETU PILKARSKIEGO
natjob.offer.2	%a CHCA ZAOFEROWAC PANU POSADE
natjob.offer.3	SELEKCJONERA REPREZENTACJI
natjob.offer.4	OBIECUJEMY DOSKONALE WYNAGRODZENIE ORAZ
natjob.offer.5	KONTRAKT ODNAWIANY CO ROKU
natjob.offer.6	CZEKAMY NA PANSKA ODPOWIEDZ
natjob.accepted.1	CZLONKOWIE KOMITETU PILKARSKIEGO
natjob.accepted.2	%a SA ZACHWYCENI, ZE PRZYJAL PAN
natjob.accepted.3	POSADE SELEKCJONERA REPREZENTACJI
natjob.ended.1	CZLONKOWIE KOMITETU PILKARSKIEGO
natjob.ended.2	%a POSTANOWILI NIE ODNAWIAC
natjob.ended.3	PANSKIEGO ROCZNEGO KONTRAKTU
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	PROSZE CZEKAC
busy.new_career	TWORZENIE SWIATA
busy.next_season	TRWA LATO
dash.scorers	KROL STRZELCOW
scorer.title	KROLOWIE STRZELCOW
scorer.view	LISTA
scorer.page	STRONA
scorer.view_comp	ROZGRYWKI
scorer.view_club	MOJ KLUB
scorer.view_history	SEZON PO SEZONIE
scorer.leading	NAJLEPSI STRZELCY ROZGRYWEK
scorer.goals	GOLE
scorer.own_goals	GOLE SAMOBOJCZE
scorer.ex_player	GOLE BYLYCH ZAWODNIKOW
scorer.career_total	LACZNIE W KARIERZE
scorer.season	SEZON
scorer.season_top	KROL STRZELCOW SEZONU
scorer.season_top_plural	KROLOWIE STRZELCOW SEZONU
scorer.no_goals	BRAK GOLI W TYM SEZONIE
scorer.no_seasons	ZADEN SEZON NIE ZOSTAL UKONCZONY
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	MECZ
dash.sec_team	DRUZYNA
dash.sec_club	KLUB
dash.sec_game	GRA
nav.hint_cols	GORA/DOL WYBOR   LEWO/PRAWO KOLUMNA   OGIEN OK   ESC POWROT
# TRAINING / CLUB DIARY / YOUTH INTAKE / CLUB RECORDS (2026-08-26)
dash.training	TRENING
dash.chronicle	KRONIKA KLUBU
dash.legends	REKORDY KLUBU
busy.training	TRENING
train.title	TRENING
train.drill	CWICZENIE
train.intensity	INTENSYWNOSC
train.toggle	DODAJ / USUN
train.auto	WYBIERZ AUTO
train.auto_done	GRUPA WYBRANA WG POTENCJALU
train.run	PRZEPROWADZ TRENING
train.report	OSTATNI RAPORT
train.report_title	RAPORT Z TRENINGU
train.ready	TRENING GOTOWY
train.closed	BRAK TRENINGU MIEDZY SEZONAMI
train.done_week	JUZ TRENOWALES W TYM TYGODNIU - NASTEPNY PO MECZU
train.coach	TRENER
train.trains	ROZWIJA
train.trains_fitness	KONDYCJA
train.trains_keeper	GRA BRAMKARSKA
train.col_in	W
train.col_con	KON
train.col_shp	FOR
train.col_room	ZAPAS
train.col_grade	OCENA
train.col_gain	POSTEP
train.group_full	GRUPA PELNA - MAX
train.no_report	NIE PRZEPROWADZONO JESZCZE TRENINGU
train.injured	KONTUZJA NA TRENINGU
train.potential_up	SUFIT PODNIESIONY
train.int_0	LEKKA
train.int_1	NORMALNA
train.int_2	INTENSYWNA
train.grade_0	SLABO
train.grade_1	OK
train.grade_2	DOBRZE
train.grade_3	SWIETNIE
train.drill_shooting	TRENING STRZALOW
train.drill_finishing	WYKANCZANIE AKCJI
train.drill_passing	PODANIA I DOSRODKOWANIA
train.drill_control	TOR SLALOMOWY
train.drill_pace	SPRINTY I WAHADLOWKI
train.drill_heading	GRA GLOWA
train.drill_defending	OBRONA I ODBIOR
train.drill_keeper	TRENING BRAMKARZY
train.drill_recovery	REGENERACJA I KONDYCJA
skill.passing	PODANIE
skill.shooting	STRZAL
skill.heading	GLOWKA
skill.tackling	ODBIOR
skill.control	PRZYJECIE
skill.speed	SZYBKOSC
skill.finishing	WYKONCZENIE
chron.title	KRONIKA KLUBU
chron.season	SEZON
chron.all	WSZYSTKO
chron.empty	NIC SIE JESZCZE NIE WYDARZYLO
chron.apps	%a ROZEGRAL %0 MECZ DLA KLUBU
chron.goals	%a STRZELIL %0 GOLA DLA KLUBU
chron.training	TRENING: %a, INTENSYWNOSC %b
chron.training_break	%0 ZAWODNIK(OW) PRZEBILO SWOJ SUFIT
chron.breakthrough	%a TRENUJE PONAD SWOJE MOZLIWOSCI
chron.train_injury	%a NABAWIL SIE KONTUZJI NA TRENINGU
chron.intake	AKADEMIA WYDALA %0 ZAWODNIKOW
chron.league_won	%a MISTRZEM LIGI
chron.league_pos	MIEJSCE %a W LIDZE
chron.cup_won	%a ZDOBYWA PUCHAR
chron.topscorer	KROL STRZELCOW: %a Z %0
chron.signed	KUPIONO %a ZA %b
chron.sold	SPRZEDANO %a ZA %b
chron.released	%a ZWOLNIONY ZA DARMO
chron.sacked	ZWOLNIONY PRZEZ %a
chron.verdict	ZARZAD OCENIL SEZON: %a
chron.big_win	WYGRANA Z %a %b
chron.big_loss	PORAZKA %b Z %a
chron.win_run	%0 ZWYCIESTW Z RZEDU
chron.unbeaten	%0 MECZOW BEZ PORAZKI
chron.winless	%0 MECZOW BEZ WYGRANEJ
youth.entry	MLODZIEZ
youth.title	NABOR MLODZIEZY
youth.none	AKADEMIA NIKOGO NIE WYDALA TEGO LATA
youth.header	RAPORT AKADEMII - SKAUCI DAJA PRZEDZIAL, NIE LICZBE
youth.col_est	OCENA SKAUTA
youth.promote	DODAJ DO GRUPY TRENINGOWEJ
youth.release	ZWOLNIJ
youth.released	ZWOLNIONY
youth.added	DODANY DO TRENINGU
youth.already	JUZ JEST W GRUPIE
youth.cannot_release	ZA MALO ZAWODNIKOW W KADRZE
legend.title	REKORDY KLUBU
legend.header	WYSTEPY WSZECH CZASOW
legend.empty	BRAK UKONCZONEGO SEZONU W TYM KLUBIE
legend.col_apps	MEC
legend.col_goals	GOL
legend.col_last	OST
legend.still	TU
