key	ro
natjob.accepted.1	MEMBRII COMITETULUI DE FOTBAL
natjob.accepted.2	AL %a SUNT INCANTATI CA ATI
natjob.accepted.3	ACCEPTAT POSTUL DE SELECTIONER
natjob.ended.1	MEMBRII COMITETULUI DE FOTBAL
natjob.ended.2	AL %a AU DECIS SA NU VA REINNOIASCA
natjob.ended.3	CONTRACTUL ANUAL
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	VA RUGAM ASTEPTATI
busy.new_career	SE CREEAZA LUMEA
busy.next_season	SE JOACA VARA
dash.scorers	GOLGHETERI
scorer.title	GOLGHETERI
scorer.view	LISTA
scorer.page	PAGINA
scorer.view_comp	COMPETITIE
scorer.view_club	CLUBUL MEU
scorer.view_history	SEZON DUPA SEZON
scorer.leading	GOLGHETERII COMPETITIEI
scorer.goals	GOLURI
scorer.own_goals	AUTOGOLURI
scorer.ex_player	GOLURI FOSTI JUCATORI
scorer.career_total	TOTAL CARIERA
scorer.season	SEZON
scorer.season_top	GOLGHETERUL SEZONULUI
scorer.season_top_plural	GOLGHETERII SEZONULUI
scorer.no_goals	NICIUN GOL IN ACEST SEZON
scorer.no_seasons	NICIUN SEZON INCHEIAT
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	MECI
dash.sec_team	ECHIPA
dash.sec_club	CLUB
dash.sec_game	JOC
nav.hint_cols	SUS/JOS ALEGE   STANGA/DREAPTA COLOANA   FOC OK   ESC INAPOI
