key	de
natjob.no_players	KEINE SPIELER VERFUEGBAR
natjob.squad_word	KADER
natjob.rating	STAERKE
natjob.home	HEIM
natjob.abroad	AUSLAND
natjob.col_name	NAME
natjob.col_pos	POS
natjob.col_ovr	GES
natjob.col_where	WO
natjob.col_club	KLUB
natjob.letter_header	INTERNATIONALES JOBANGEBOT VON %a
natjob.offer.1	DIE MITGLIEDER DES FUSSBALLAUSSCHUSSES
natjob.offer.2	VON %a MOECHTEN IHNEN DEN POSTEN
natjob.offer.3	DES NATIONALTRAINERS ANBIETEN
natjob.offer.4	WIR VERSPRECHEN EIN AUSGEZEICHNETES GEHALT UND
natjob.offer.5	EINEN JAEHRLICH VERLAENGERBAREN VERTRAG
natjob.offer.6	WIR FREUEN UNS AUF IHRE ANTWORT
natjob.accepted.1	DIE MITGLIEDER DES FUSSBALLAUSSCHUSSES
natjob.accepted.2	VON %a FREUEN SICH SEHR DASS SIE
natjob.accepted.3	DEN POSTEN DES NATIONALTRAINERS ANNAHMEN
natjob.ended.1	DIE MITGLIEDER DES FUSSBALLAUSSCHUSSES
natjob.ended.2	VON %a VERLAENGERN IHREN JAEHRLICH
natjob.ended.3	VERLAENGERBAREN VERTRAG NICHT
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	BITTE WARTEN
busy.new_career	WELT WIRD ERSTELLT
busy.next_season	DER SOMMER LAUFT
dash.scorers	TORJAGER
scorer.title	TORJAGERLISTE
scorer.view	LISTE
scorer.page	SEITE
scorer.view_comp	WETTBEWERB
scorer.view_club	MEIN VEREIN
scorer.view_history	SAISON FUR SAISON
scorer.leading	BESTE TORJAGER DES WETTBEWERBS
scorer.goals	TORE
scorer.own_goals	EIGENTORE
scorer.ex_player	TORE EHEM. SPIELER
scorer.career_total	KARRIERE GESAMT
scorer.season	SAISON
scorer.season_top	TORJAGER DER SAISON
scorer.season_top_plural	TORJAGER DER SAISON
scorer.no_goals	NOCH KEINE TORE IN DIESER SAISON
scorer.no_seasons	NOCH KEINE SAISON BEENDET
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	SPIEL
dash.sec_team	MANNSCHAFT
dash.sec_club	VEREIN
dash.sec_game	SPIELSTAND
nav.hint_cols	OBEN/UNTEN WAHL   LINKS/RECHTS SPALTE   FEUER OK   ESC ZURUCK
# TRAINING / CLUB DIARY / YOUTH INTAKE / CLUB RECORDS (2026-08-26)
dash.training	TRAINING
dash.chronicle	VEREINSCHRONIK
dash.legends	VEREINSREKORDE
busy.training	TRAINING
train.title	TRAINING
train.drill	UEBUNG
train.intensity	INTENSITAET
train.toggle	HINZU / RAUS
train.auto	AUTO-AUSWAHL
train.auto_done	GRUPPE NACH POTENZIAL GEWAEHLT
train.run	EINHEIT STARTEN
train.report	LETZTER BERICHT
train.report_title	TRAININGSBERICHT
train.ready	EINHEIT BEREIT
train.closed	KEIN TRAINING ZWISCHEN SAISONS
train.done_week	DIESE WOCHE TRAINIERT - NAECHSTE EINHEIT NACH DEM SPIEL
train.coach	TRAINER
train.trains	TRAINIERT
train.trains_fitness	KONDITION
train.trains_keeper	TORWARTSPIEL
train.col_in	IN
train.col_con	KON
train.col_shp	FRM
train.col_room	LUFT
train.col_grade	EINHEIT
train.col_gain	FORTSCHRITT
train.group_full	GRUPPE VOLL - MAX
train.no_report	NOCH KEINE EINHEIT ABSOLVIERT
train.injured	IM TRAINING VERLETZT
train.potential_up	GRENZE ANGEHOBEN
train.int_0	LEICHT
train.int_1	NORMAL
train.int_2	INTENSIV
train.grade_0	SCHWACH
train.grade_1	OK
train.grade_2	GUT
train.grade_3	HERVORRAGEND
train.drill_shooting	SCHUSSTRAINING
train.drill_finishing	ABSCHLUSSTRAINING
train.drill_passing	PASSEN UND FLANKEN
train.drill_control	DRIBBELPARCOURS
train.drill_pace	SPRINTS UND LAEUFE
train.drill_heading	KOPFBALLTRAINING
train.drill_defending	ABWEHR UND ZWEIKAMPF
train.drill_keeper	TORWARTTRAINING
train.drill_recovery	REGENERATION UND FITNESS
skill.passing	PASS
skill.shooting	SCHUSS
skill.heading	KOPFBALL
skill.tackling	ZWEIKAMPF
skill.control	ANNAHME
skill.speed	TEMPO
skill.finishing	ABSCHLUSS
chron.title	VEREINSCHRONIK
chron.season	SAISON
chron.all	ALLE
chron.empty	NOCH IST NICHTS PASSIERT
chron.apps	%a BESTREITET SPIEL %0 FUER DEN VEREIN
chron.goals	%a ERZIELT TOR %0 FUER DEN VEREIN
chron.training	TRAINING: %a, INTENSITAET %b
chron.training_break	%0 SPIELER UEBERTRAFEN IHR POTENZIAL
chron.breakthrough	%a TRAINIERT UEBER SEINEM NIVEAU
chron.train_injury	%a HAT SICH IM TRAINING VERLETZT
chron.intake	DIE JUGEND BRACHTE %0 SPIELER HERVOR
chron.league_won	%a IST MEISTER
chron.league_pos	PLATZ %a IN DER LIGA
chron.cup_won	%a GEWINNT DEN POKAL
chron.topscorer	TORSCHUETZENKOENIG: %a MIT %0
chron.signed	%a VERPFLICHTET FUER %b
chron.sold	%a VERKAUFT FUER %b
chron.released	%a ABLOESEFREI ABGEGEBEN
chron.sacked	VON %a ENTLASSEN
chron.verdict	DER VORSTAND BEWERTET DIE SAISON: %a
chron.big_win	SIEG GEGEN %a %b
chron.big_loss	NIEDERLAGE %b GEGEN %a
chron.win_run	%0 SIEGE IN FOLGE
chron.unbeaten	%0 SPIELE UNGESCHLAGEN
chron.winless	%0 SPIELE OHNE SIEG
youth.entry	JUGEND
youth.title	JUGENDJAHRGANG
youth.none	DIE JUGEND BRACHTE DIESEN SOMMER NIEMANDEN HERVOR
youth.header	BERICHT DER JUGEND - SCOUTS NENNEN EINE SPANNE, KEINE ZAHL
youth.col_est	SCOUT-URTEIL
youth.promote	ZUR TRAININGSGRUPPE
youth.release	FREIGEBEN
youth.released	FREIGEGEBEN
youth.added	ZUM TRAINING HINZU
youth.already	SCHON IN DER GRUPPE
youth.cannot_release	KADER ZU KLEIN
legend.title	VEREINSREKORDE
legend.header	EWIGE EINSATZLISTE
legend.empty	NOCH KEINE SAISON BEI DIESEM VEREIN
legend.col_apps	SP
legend.col_goals	TOR
legend.col_last	LETZT
legend.still	HIER
