key	it
natjob.auto	SCELTA AUTOMATICA
natjob.resign	DIMETTERSI
natjob.full	ROSA COMPLETA
natjob.appointed	CT DI
natjob.none	NESSUN INCARICO IN NAZIONALE
natjob.no_players	NESSUN GIOCATORE DISPONIBILE
natjob.squad_word	ROSA
natjob.rating	VALORE
natjob.home	IN PATRIA
natjob.abroad	ALL ESTERO
natjob.col_name	NOME
natjob.col_pos	RUO
natjob.col_ovr	VAL
natjob.col_where	DOVE
natjob.col_club	CLUB
natjob.letter_header	OFFERTA DI LAVORO INTERNAZIONALE DA %a
natjob.offer.1	I MEMBRI DEL COMITATO CALCISTICO
natjob.offer.2	DI %a VORREBBERO OFFRIRLE IL RUOLO
natjob.offer.3	DI COMMISSARIO TECNICO
natjob.offer.4	LE PROMETTIAMO UN OTTIMO INGAGGIO E
natjob.offer.5	UN CONTRATTO RINNOVABILE OGNI ANNO
natjob.offer.6	ATTENDIAMO UNA SUA RISPOSTA
natjob.accepted.1	I MEMBRI DEL COMITATO CALCISTICO
natjob.accepted.2	DI %a SONO FELICI CHE LEI ABBIA
natjob.accepted.3	ACCETTATO IL RUOLO DI COMMISSARIO TECNICO
natjob.ended.1	I MEMBRI DEL COMITATO CALCISTICO
natjob.ended.2	DI %a HANNO DECISO DI NON RINNOVARE
natjob.ended.3	IL SUO CONTRATTO ANNUALE
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	ATTENDERE PREGO
busy.new_career	CREAZIONE DEL MONDO
busy.next_season	SI GIOCA L ESTATE
dash.scorers	CAPOCANNONIERI
scorer.title	CAPOCANNONIERI
scorer.view	ELENCO
scorer.page	PAGINA
scorer.view_comp	COMPETIZIONE
scorer.view_club	IL MIO CLUB
scorer.view_history	STAGIONE PER STAGIONE
scorer.leading	MIGLIORI MARCATORI DELLA COMPETIZIONE
scorer.goals	GOL
scorer.own_goals	AUTORETI
scorer.ex_player	GOL DI EX GIOCATORI
scorer.career_total	TOTALE CARRIERA
scorer.season	STAGIONE
scorer.season_top	CAPOCANNONIERE DELLA STAGIONE
scorer.season_top_plural	CAPOCANNONIERI DELLA STAGIONE
scorer.no_goals	NESSUN GOL IN QUESTA STAGIONE
scorer.no_seasons	NESSUNA STAGIONE COMPLETATA
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	PARTITA
dash.sec_team	SQUADRA
dash.sec_club	CLUB
dash.sec_game	GIOCO
nav.hint_cols	SU/GIU SCELTA   SIN/DES COLONNA   FUOCO OK   ESC INDIETRO
# TRAINING / CLUB DIARY / YOUTH INTAKE / CLUB RECORDS (2026-08-26)
dash.training	ALLENAMENTO
dash.chronicle	DIARIO DEL CLUB
dash.legends	RECORD DEL CLUB
busy.training	ALLENAMENTO
train.title	ALLENAMENTO
train.drill	ESERCIZIO
train.intensity	INTENSITA
train.toggle	AGGIUNGI / TOGLI
train.auto	SCELTA AUTO
train.auto_done	GRUPPO SCELTO PER POTENZIALE
train.run	AVVIA SEDUTA
train.report	ULTIMO RAPPORTO
train.report_title	RAPPORTO ALLENAMENTO
train.ready	SEDUTA PRONTA
train.closed	NIENTE ALLENAMENTO TRA LE STAGIONI
train.done_week	GIA ALLENATI QUESTA SETTIMANA - PROSSIMA SEDUTA DOPO LA PARTITA
train.coach	ALLENATORE
train.trains	ALLENA
train.trains_fitness	CONDIZIONE
train.trains_keeper	GIOCO IN PORTA
train.col_in	IN
train.col_con	CON
train.col_shp	FRM
train.col_room	MARG
train.col_grade	SEDUTA
train.col_gain	PROGRESSI
train.group_full	GRUPPO PIENO - MAX
train.no_report	NESSUNA SEDUTA ANCORA SVOLTA
train.injured	INFORTUNIO IN ALLENAMENTO
train.potential_up	TETTO ALZATO
train.int_0	LEGGERA
train.int_1	NORMALE
train.int_2	INTENSA
train.grade_0	SCARSA
train.grade_1	OK
train.grade_2	BUONA
train.grade_3	OTTIMA
train.drill_shooting	TIRI IN PORTA
train.drill_finishing	CONCLUSIONE
train.drill_passing	PASSAGGI E CROSS
train.drill_control	PERCORSO DI DRIBBLING
train.drill_pace	SCATTI E NAVETTE
train.drill_heading	GIOCO AEREO
train.drill_defending	DIFESA E CONTRASTO
train.drill_keeper	PORTIERI
train.drill_recovery	RECUPERO E CONDIZIONE
skill.passing	PASSAGGIO
skill.shooting	TIRO
skill.heading	COLPO DI TESTA
skill.tackling	CONTRASTO
skill.control	CONTROLLO
skill.speed	VELOCITA
skill.finishing	CONCLUSIONE
chron.title	DIARIO DEL CLUB
chron.season	STAGIONE
chron.all	TUTTO
chron.empty	NON E ANCORA SUCCESSO NULLA
chron.apps	%a GIOCA LA PARTITA %0 PER IL CLUB
chron.goals	%a SEGNA IL GOL %0 PER IL CLUB
chron.training	ALLENAMENTO: %a, INTENSITA %b
chron.training_break	%0 GIOCATORI HANNO SUPERATO IL LORO TETTO
chron.breakthrough	%a SI ALLENA SOPRA IL SUO LIVELLO
chron.train_injury	%a SI E INFORTUNATO IN ALLENAMENTO
chron.intake	IL SETTORE GIOVANILE HA PRODOTTO %0 GIOCATORI
chron.league_won	%a E CAMPIONE
chron.league_pos	%a POSTO IN CAMPIONATO
chron.cup_won	%a VINCE LA COPPA
chron.topscorer	CAPOCANNONIERE: %a CON %0
chron.signed	PRESO %a PER %b
chron.sold	CEDUTO %a PER %b
chron.released	%a SVINCOLATO
chron.sacked	ESONERATO DA %a
chron.verdict	IL CONSIGLIO HA GIUDICATO LA STAGIONE: %a
chron.big_win	VITTORIA CON %a %b
chron.big_loss	SCONFITTA %b CON %a
chron.win_run	%0 VITTORIE DI FILA
chron.unbeaten	%0 PARTITE SENZA SCONFITTE
chron.winless	%0 PARTITE SENZA VITTORIE
youth.entry	GIOVANILI
youth.title	SETTORE GIOVANILE
youth.none	IL SETTORE GIOVANILE NON HA PRODOTTO NESSUNO
youth.header	RAPPORTO GIOVANILE - GLI OSSERVATORI DANNO UNA FORBICE
youth.col_est	GIUDIZIO OSSERVATORE
youth.promote	AGGIUNGI AL GRUPPO
youth.release	SVINCOLA
youth.released	SVINCOLATO
youth.added	AGGIUNTO ALL'ALLENAMENTO
youth.already	GIA NEL GRUPPO
youth.cannot_release	ROSA TROPPO CORTA
legend.title	RECORD DEL CLUB
legend.header	PRESENZE DI SEMPRE
legend.empty	NESSUNA STAGIONE COMPLETATA IN QUESTO CLUB
legend.col_apps	PRE
legend.col_goals	GOL
legend.col_last	ULT
legend.still	QUI
