key	fi
natjob.col_pos	PEL
natjob.col_ovr	TASO
natjob.col_where	MISSA
natjob.col_club	SEURA
natjob.letter_header	KANSAINVALINEN TYOTARJOUS MAALTA %a
natjob.offer.1	JALKAPALLOLIITON JASENET
natjob.offer.2	MAASTA %a TARJOAVAT SINULLE
natjob.offer.3	MAAJOUKKUEEN PAAVALMENTAJAN PAIKKAA
natjob.offer.4	LUPAAMME ERINOMAISEN PALKAN JA
natjob.offer.5	VUOSITTAIN TARKISTETTAVAN SOPIMUKSEN
natjob.offer.6	ODOTAMME VASTAUSTASI
natjob.accepted.1	JALKAPALLOLIITON JASENET
natjob.accepted.2	MAASTA %a OVAT ILOISIA ETTA
natjob.accepted.3	OTIT VASTAAN MAAJOUKKUEEN PAIKAN
natjob.ended.1	JALKAPALLOLIITON JASENET
natjob.ended.2	MAASTA %a EIVAT JATKA VUOSITTAIN
natjob.ended.3	TARKISTETTAVAA SOPIMUSTASI
# TOP SCORERS (career depth plan feature #5) + PLEASE WAIT
busy.title	ODOTA HETKI
busy.new_career	LUODAAN MAAILMAA
busy.next_season	KESA KAYNNISSA
dash.scorers	MAALIPORSSI
scorer.title	MAALIPORSSI
scorer.view	LISTA
scorer.page	SIVU
scorer.view_comp	KILPAILU
scorer.view_club	OMA SEURA
scorer.view_history	KAUSI KERRALLAAN
scorer.leading	KILPAILUN PARHAAT MAALINTEKIJAT
scorer.goals	MAALIT
scorer.own_goals	OMAT MAALIT
scorer.ex_player	ENTISTEN PELAAJIEN MAALIT
scorer.career_total	URAN YHTEENSA
scorer.season	KAUSI
scorer.season_top	KAUDEN MAALIKUNINGAS
scorer.season_top_plural	KAUDEN MAALIKUNINKAAT
scorer.no_goals	EI VIELA MAALEJA TALLA KAUDELLA
scorer.no_seasons	YHTAAN KAUTTA EI OLE PELATTU LOPPUUN
# CAREER DASHBOARD SECTIONS (3-column layout)
dash.sec_match	OTTELU
dash.sec_team	JOUKKUE
dash.sec_club	SEURA
dash.sec_game	PELI
nav.hint_cols	YLOS/ALAS VALINTA   VASEN/OIKEA SARAKE   TULI OK   ESC TAKAISIN
